time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef
13,34.851303,32.55,1743,1000,23460,2.6912567615509033,-10.349180221557617,672,-0.33103907108306885,0.0001,0.9352014660835266
13,35.81238,32.73,1722,1010,23980,2.3416240215301514,-10.910470008850098,698,-0.3435330092906952,0.0001,0.9328067898750305
14,39.987476,35.75,1715,1020,24280,1.1727381944656372,-11.28620719909668,713,-0.3523581027984619,0.0001,0.9314272999763489
14,38.172985,35.43,1703,1030,24700,2.3970727920532227,-11.180341720581055,734,-0.36159956455230713,0.0001,0.9295004606246948
14,39.492508,35.88,1690,1040,25180,2.8678972721099854,-11.475461959838867,758,-0.3739384412765503,0.0001,0.9273041486740112
15,41.856144,37.54,1678,1050,25520,1.411037564277649,-11.467785835266113,775,-0.3801947832107544,0.0001,0.9257548451423645
15,39.50996,37.12,1665,1060,26000,2.5865819454193115,-12.036714553833008,799,-0.39282751083374023,0.0001,0.9235724806785583
15,42.259083,38.55,1656,1070,26400,2.7627921104431152,-12.005853652954102,819,-0.39594465494155884,0.0001,0.9217588901519775
16,43.279083,38.83,1648,1080,26740,2.391606569290161,-12.281845092773438,836,-0.4049466848373413,0.0001,0.9202219247817993
16,45.665783,40.38,1639,1090,27160,2.056793212890625,-12.463297843933105,857,-0.41672128438949585,0.0001,0.9183332920074463
16,46.107033,40.54,1632,1100,27480,3.081632614135742,-12.75346851348877,873,-0.4239233136177063,0.0001,0.9169043898582458
17,45.8937,40.4,1609,1110,27780,1.4482084512710571,-12.676509857177734,888,-0.43167954683303833,0.0001,0.915561318397522
17,42.930958,38.57,1589,1120,28140,1.8107657432556152,-12.879814147949219,906,-0.4352826476097107,0.0001,0.9139505624771118
18,44.89303,39.07,1571,1130,28700,3.7443814277648926,-13.479408264160156,934,-0.4499036967754364,0.0001,0.9114542007446289
18,47.885918,40.19,1554,1140,29180,4.036815643310547,-13.725049018859863,958,-0.456653892993927,0.0001,0.909321665763855
19,45.953712,39.21,1518,1150,29740,4.754613876342773,-13.502239227294922,986,-0.4618624150753021,0.0001,0.9068508148193359
20,51.659195,42.26,1485,1160,30260,3.9907419681549072,-14.152708053588867,1012,-0.4763719439506531,0.0001,0.9045673608779907
21,53.3768,43.15,1441,1170,30740,2.592036247253418,-14.598474502563477,1036,-0.4994616210460663,0.0001,0.902465283870697
21,56.108376,44.82,1423,1180,31280,5.118251800537109,-14.763357162475586,1063,-0.5083077549934387,0.0001,0.9001095294952393
22,54.63468,43.8,1407,1190,31860,4.39276123046875,-15.16114616394043,1092,-0.5206413865089417,0.0001,0.8975870609283447
23,57.68733,46.01,1397,1200,32360,3.955399990081787,-15.227914810180664,1117,-0.5267735719680786,0.0001,0.8954152464866638
23,60.857628,48.44,1386,1210,32960,5.766972541809082,-15.234312057495117,1147,-0.5402567982673645,0.0001,0.8928148746490479
24,64.41172,49.94,1373,1220,33580,3.3266525268554688,-15.857596397399902,1178,-0.5468851327896118,0.0001,0.8901435136795044
25,65.9249,51.96,1359,1230,34200,2.605515956878662,-16.545127868652344,1209,-0.5735043287277222,0.0001,0.8874844312667847
25,67.88395,52.96,1353,1240,34760,5.372284412384033,-16.914026260375977,1237,-0.5825945138931274,0.0001,0.8850887417793274
26,70.88347,54.76,1344,1250,35300,3.211015224456787,-17.527542114257812,1264,-0.588384211063385,0.0001,0.882778525352478
26,70.133224,54.64,1341,1260,35600,3.9755964279174805,-17.068374633789062,1279,-0.5919359922409058,0.0001,0.8815014958381653
27,69.88498,54.77,1338,1270,36260,6.151436805725098,-17.470352172851562,1312,-0.6169859766960144,0.0001,0.8786942958831787
27,71.73059,55.52,1335,1280,36700,4.558113098144531,-18.177505493164062,1334,-0.6251097917556763,0.0001,0.8768332600593567
28,72.74832,55.26,1332,1290,37360,4.7101216316223145,-18.19536781311035,1367,-0.6366616487503052,0.0001,0.8740456700325012
28,72.59788,54.31,1325,1300,37880,6.457286357879639,-18.54153823852539,1393,-0.6396850943565369,0.0001,0.871861457824707
28,74.68153,54.45,1322,1310,38260,7.838204383850098,-18.987592697143555,1412,-0.6351778507232666,0.0001,0.8702687621116638
29,75.72368,54.59,1310,1320,38780,6.411240577697754,-19.23130226135254,1438,-0.660112738609314,0.0001,0.8681048154830933
30,75.465805,52.69,1301,1330,39380,4.4562788009643555,-19.90024185180664,1468,-0.6620422601699829,0.0001,0.8656113147735596
30,77.13394,53.04,1295,1340,40040,8.003945350646973,-20.350120544433594,1501,-0.7108254432678223,0.0001,0.8628610372543335
31,78.37812,53.32,1293,1350,40460,5.22422456741333,-20.483272552490234,1522,-0.6969814300537109,0.0001,0.8611125349998474
31,80.92727,53.31,1294,1360,41340,5.674046516418457,-19.753135681152344,1566,-0.7099378108978271,0.0001,0.8574772477149963
32,85.909294,55.37,1292,1370,41900,7.68570613861084,-21.734956741333008,1594,-0.7118338346481323,0.0001,0.8551766872406006
32,86.94543,56.63,1291,1380,42400,8.38523006439209,-21.447797775268555,1619,-0.7316275238990784,0.0001,0.8531347513198853
33,87.55431,56.33,1291,1390,42920,3.1003143787384033,-21.46456527709961,1645,-0.7334161996841431,0.0001,0.8510227799415588
33,90.52015,57.34,1293,1400,43580,9.28996467590332,-21.39014434814453,1678,-0.7395734190940857,0.0001,0.8483420014381409
34,92.50688,57.35,1293,1410,44200,9.528059005737305,-22.922237396240234,1709,-0.7479159235954285,0.0001,0.8458238244056702
34,96.33458,58.34,1293,1420,44580,4.352853775024414,-23.261138916015625,1728,-0.7841991186141968,0.0001,0.8442901372909546
34,100.17061,60.06,1295,1430,45300,13.810059547424316,-23.008453369140625,1764,-0.7965149879455566,0.0001,0.8413869142532349
35,101.136856,60.25,1296,1440,46060,9.340253829956055,-23.180997848510742,1802,-0.8076072931289673,0.0001,0.8383259773254395
36,108.10679,62.18,1298,1450,46900,4.752540588378906,-24.2777099609375,1844,-0.8130998015403748,0.0001,0.8349684476852417
36,114.744026,64.57,1300,1460,47700,5.854022979736328,-24.35302734375,1884,-0.8286211490631104,0.0001,0.8317985534667969
37,115.6152,63.72,1302,1470,48400,9.056921005249023,-24.337942123413086,1919,-0.8277548551559448,0.0001,0.8290269374847412
37,122.1942,64.58,1304,1480,49300,9.818952560424805,-25.708114624023438,1964,-0.86904376745224,0.0001,0.8254848718643188
38,133.21756,69.07,1305,1490,49860,10.12285327911377,-25.952924728393555,1992,-0.8600605130195618,0.0001,0.8232870697975159
