rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss
58.4,36720,79.33124,34,1063,1230,1335,1.9332544803619385,0.00012742749857031334,0.845784604549408,-0.788459300994873,-17.716840744018555
55.35,37300,78.537796,35,1059,1240,1364,5.429133415222168,0.00012742749857031334,0.8427844047546387,-0.803541898727417,-17.618408203125
55.51,37880,79.997185,35,1058,1250,1393,7.403454780578613,0.00012742749857031334,0.8397924304008484,-0.8106361031532288,-18.778520584106445
54.38,38220,80.62939,36,1057,1260,1410,4.895824909210205,0.00012742749857031334,0.8380427956581116,-0.8131158947944641,-18.902976989746094
53.7,38720,81.413826,36,1055,1270,1435,2.251750946044922,0.00012742749857031334,0.835482656955719,-0.8285465240478516,-18.514368057250977
54.02,39320,82.59655,37,1054,1280,1465,3.5721445083618164,0.00012742749857031334,0.8324256539344788,-0.8381856679916382,-19.490615844726562
54.52,39960,84.273674,37,1052,1290,1497,5.126742362976074,0.00012742749857031334,0.8291915655136108,-0.8749074935913086,-19.510644912719727
52.94,40760,83.58844,38,1047,1300,1537,4.303818225860596,0.00012742749857031334,0.8251507878303528,-0.8971039056777954,-20.343429565429688
55.01,41020,87.33653,39,1046,1310,1550,4.415727615356445,0.00012742749857031334,0.8238422870635986,-0.8607965707778931,-20.372467041015625
53.08,41760,84.959694,40,1043,1320,1587,3.2393879890441895,0.00012742749857031334,0.8201351165771484,-0.8932669162750244,-20.858003616333008
55.22,42220,88.08371,40,1041,1330,1610,4.308667182922363,0.00012742749857031334,0.8178277611732483,-0.9373069405555725,-21.243608474731445
54.97,42640,88.01587,41,1038,1340,1631,3.4247236251831055,0.00012742749857031334,0.8157361745834351,-0.9481625556945801,-21.426982879638672
55.16,43400,90.64578,41,1037,1350,1669,8.318737030029297,0.00012742749857031334,0.811974048614502,-0.9707452058792114,-22.28034210205078
55.79,44060,93.06741,42,1034,1360,1702,6.276125431060791,0.00012742749857031334,0.8087016344070435,-0.9670835137367249,-22.662500381469727
56.44,44440,95.78736,42,1033,1370,1721,2.876901865005493,0.00012742749857031334,0.8068252801895142,-0.9910883903503418,-22.01192855834961
57.63,45160,98.66309,43,1032,1380,1757,14.081743240356445,0.00012742749857031334,0.8032678365707397,-1.0076415538787842,-22.51605224609375
58.15,45820,101.12094,44,1030,1390,1790,7.424618721008301,0.00012742749857031334,0.8000233173370361,-1.021583080291748,-23.00521469116211
61.22,46800,108.476105,45,1029,1400,1839,7.9735260009765625,0.00012742749857031334,0.7952391505241394,-1.025701880455017,-23.987442016601562
62.75,47420,113.76084,46,1026,1410,1870,6.344033241271973,0.00012742749857031334,0.7922572493553162,-1.0776100158691406,-24.50439453125
62.85,48120,115.608055,47,1021,1420,1905,8.180280685424805,0.00012742749857031334,0.7888889908790588,-1.0568784475326538,-24.211503982543945
63.78,48860,120.290016,47,1018,1430,1942,16.35558319091797,0.00012742749857031334,0.7853611707687378,-1.0805633068084717,-25.838579177856445
67.76,49760,130.29562,48,1016,1440,1987,6.415514945983887,0.00012742749857031334,0.7810721397399902,-1.0979931354522705,-26.03432846069336
