time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates
950,1470,158.37,94560,99,428.2696909499999,1.9535894393920898,0.004641588833612777,-43.421142578125,7.866968631744385,0.03065802901983261,4227
950,1480,155.65,96000,100,418.5386604199999,-0.8785802125930786,0.004641588833612777,-44.72319030761719,7.436007499694824,0.031699880957603455,4299
950,1490,146.02,96700,101,386.48697272000004,-0.4026027321815491,0.004641588833612777,-45.038169860839844,5.527194499969482,0.03359372913837433,4334
951,1500,144.27,98700,103,380.5066455500001,-0.24534615874290466,0.004641588833612777,-47.4640998840332,5.065800666809082,0.03858976438641548,4434
951,1510,141.99,99380,104,371.20715155000005,0.6309913992881775,0.004641588833612777,-47.0591926574707,2.172391176223755,0.037722643464803696,4468
950,1520,137.21,100680,105,354.52629205,-2.221837043762207,0.004641588833612777,-47.9393310546875,6.143378257751465,0.03336572274565697,4533
950,1530,136.09,102480,107,352.69533165,0.807796835899353,0.004641588833612777,-49.510231018066406,11.851568222045898,0.03476143255829811,4623
949,1540,136.43,103080,108,356.17518471999995,2.700627326965332,0.004641588833612777,-49.08373260498047,8.996423721313477,0.039104215800762177,4653
949,1550,135.59,105020,110,354.70348622000006,-0.018939107656478882,0.004641588833612777,-50.29974365234375,7.729710578918457,0.03809504210948944,4750
949,1560,130.3,105420,111,343.51615857999997,0.25154685974121094,0.004641588833612777,-50.470577239990234,7.320340156555176,0.03943295776844025,4770
947,1570,127.79,107420,113,338.36591461999996,1.0271594524383545,0.004641588833612777,-52.312286376953125,4.201251983642578,0.039388567209243774,4870
947,1580,125.42,107740,113,332.67115052,-1.3432109355926514,0.004641588833612777,-54.514617919921875,7.280552387237549,0.04034210741519928,4886
946,1590,125.87,109860,116,336.95576310999996,2.188383102416992,0.004641588833612777,-52.72584915161133,8.458358764648438,0.03868550807237625,4992
946,1600,124.99,110180,116,336.52531646999995,2.9360218048095703,0.004641588833612777,-54.269615173339844,5.146479606628418,0.03953041136264801,5008
