rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss
322.67686712,960,343,329800,3870,118.6,15989,17.593002319335938,0.06140245869755745,0.03593813663804626,5.680294513702393,-100.03660583496094
317.08935883000004,960,345,331300,3880,117.21,16064,31.08633804321289,0.0635528638958931,0.03593813663804626,1.1766717433929443,-101.12474060058594
321.83633123000004,960,346,332480,3890,118.07,16123,13.489970207214355,0.07421436160802841,0.03593813663804626,0.11799174547195435,-96.87225341796875
319.64806028999993,959,347,333860,3900,117.34,16192,31.423866271972656,0.05702889338135719,0.03593813663804626,0.02844107151031494,-100.30012512207031
329.70742778999994,960,348,334680,3910,121.4,16233,21.67580795288086,0.1448279321193695,0.03593813663804626,-1.5997263193130493,-102.1236572265625
323.26221752,959,349,335840,3920,119.16,16291,21.370891571044922,0.1031063124537468,0.03593813663804626,0.14475910365581512,-97.41411590576172
336.6942573,959,351,337320,3930,123.07,16365,29.104177474975586,0.04848063737154007,0.03593813663804626,4.118505001068115,-98.74154663085938
335.51012184,959,352,338000,3940,122.56,16399,12.297597885131836,0.07238297909498215,0.03593813663804626,1.8382773399353027,-100.42295837402344
344.00371101999997,959,354,340060,3950,124.55,16502,22.20968246459961,0.06464153528213501,0.03593813663804626,2.146393299102783,-100.1982192993164
348.43120896,959,354,340240,3960,125.73,16511,26.484867095947266,0.07458938658237457,0.03593813663804626,0.9467853307723999,-101.0588150024414
352.34367139,958,357,343020,3970,126.49,16650,10.705924034118652,0.08846168965101242,0.03593813663804626,-2.387722969055176,-98.93284606933594
371.08765355,958,358,343620,3980,130.38,16680,20.13526153564453,0.06327179074287415,0.03593813663804626,3.2682700157165527,-104.52601623535156
352.93682974999996,958,359,344680,3990,125.58,16733,12.248111724853516,0.065635547041893,0.03593813663804626,2.7380003929138184,-104.10650634765625
354.82180107000005,958,361,346300,4000,126.03,16814,17.91327667236328,0.07197916507720947,0.03593813663804626,3.106566905975342,-102.01968383789062
357.28187553000004,958,362,347520,4010,126.6,16875,11.213211059570312,0.06175113469362259,0.03593813663804626,4.692152976989746,-102.79560852050781
