,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
108,108,15.5390728,2023-05-18 16:52:20.321028,2023-05-18 16:52:21.309136,0 days 00:00:00.988108,16,1000000,0.95,0.09021103461141416,1000,0.7245248304399737,small,0.005,4,PRUNED
109,109,28.381258600000002,2023-05-18 16:52:20.383315,2023-05-18 16:52:22.249461,0 days 00:00:01.866146,16,1000000,0.95,0.08976370602687951,1000,-0.8210447955552909,small,0.08,32,PRUNED
110,110,15.7042392,2023-05-18 16:52:21.310455,2023-05-18 16:52:22.099217,0 days 00:00:00.788762,32,10000,0.99,1.5776075925481993e-05,1000,-0.7162286351242882,big,0.005,128,PRUNED
111,111,17.833613399999997,2023-05-18 16:52:22.102877,2023-05-18 16:52:23.231918,0 days 00:00:01.129041,16,1000000,0.995,0.04119474595765391,1000,0.0892899720580467,small,0.08,32,PRUNED
112,112,27.313290000000002,2023-05-18 16:52:22.254655,2023-05-18 16:52:23.320828,0 days 00:00:01.066173,16,1000000,0.9,0.01872924798735712,1000,-0.782678038337275,small,0.08,32,PRUNED
113,113,17.1632404,2023-05-18 16:52:23.233138,2023-05-18 16:52:24.249668,0 days 00:00:01.016530,2048,1000000,0.9,0.00023889401191828309,1000,-1.3997604477188852,big,0.01,32,PRUNED
114,114,40.101169399999996,2023-05-18 16:52:23.323389,2023-05-18 16:52:24.871767,0 days 00:00:01.548378,2048,1000000,0.9,0.0017046221339093444,10000,-0.5627290042197447,big,0.02,32,PRUNED
115,115,29.783160799999997,2023-05-18 16:52:24.252003,2023-05-18 16:52:25.432243,0 days 00:00:01.180240,2048,1000000,0.9,0.004622478936617731,10000,-1.7368313454837383,big,0.01,256,PRUNED
116,116,63.1827904,2023-05-18 16:52:24.874252,2023-05-18 16:52:27.559152,0 days 00:00:02.684900,2048,100000,0.9,0.00022244884988669063,1000,-0.3208714408137713,big,0.005,4,PRUNED
117,117,109.3413864,2023-05-18 16:52:25.434515,2023-05-18 16:52:27.056415,0 days 00:00:01.621900,128,10000,0.9,0.00012020006251132731,10000,-1.4305735767455332,big,0.01,256,COMPLETE
118,118,30.617128400000002,2023-05-18 16:52:27.058755,2023-05-18 16:52:28.363168,0 days 00:00:01.304413,32,1000000,0.999,0.0019390839608992617,1000,0.4361534601891897,big,0.001,16,PRUNED
119,119,31.653169600000002,2023-05-18 16:52:27.560238,2023-05-18 16:52:28.851625,0 days 00:00:01.291387,256,1000000,0.9,6.809896026138229e-05,10000,-1.0045927567440107,big,0.01,256,PRUNED
120,120,26.233643,2023-05-18 16:52:28.364589,2023-05-18 16:52:29.513167,0 days 00:00:01.148578,2048,100000,0.9,0.00017423703987586055,10000,-0.32296860680095574,big,0.01,128,PRUNED
