,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
109,109,55.43303740000001,2023-05-18 15:22:46.445903,2023-05-18 15:25:43.177515,0 days 00:02:56.731612,2048,1000000,0.9,0.0013850198008881019,0,0.6779105986300934,big,0.08,32,PRUNED
110,110,69.5848264,2023-05-18 15:23:56.098697,2023-05-18 15:25:30.928618,0 days 00:01:34.829921,1024,1000000,0.9,0.009442186524203464,0,-2.2754872536428667,big,0.08,32,PRUNED
111,111,71.89219119999998,2023-05-18 15:24:29.059931,2023-05-18 15:25:09.830746,0 days 00:00:40.770815,256,1000000,0.9,0.034310027060630445,0,-2.218117066632423,big,0.08,32,PRUNED
112,112,42.591082400000005,2023-05-18 15:25:09.831609,2023-05-18 15:25:10.340895,0 days 00:00:00.509286,64,10000,0.95,0.10105819789626755,20000,-3.5305406558580863,big,0.01,4,PRUNED
113,113,486.13200399999994,2023-05-18 15:25:10.342319,2023-05-18 15:26:43.443752,0 days 00:01:33.101433,1024,1000000,0.9,0.0008024097060940137,0,-3.517084139848471,big,0.08,128,COMPLETE
114,114,23.612871000000002,2023-05-18 15:25:16.581072,2023-05-18 15:25:17.644290,0 days 00:00:01.063218,1024,1000000,0.9,0.001333651329926926,0,-3.032467661790066,big,0.08,512,PRUNED
115,115,28.496801600000005,2023-05-18 15:25:17.645434,2023-05-18 15:25:18.085340,0 days 00:00:00.439906,1024,1000000,0.999,0.7226973118272225,1000,-3.7943694906007925,big,0.005,32,PRUNED
116,116,198.483637,2023-05-18 15:25:18.086620,2023-05-18 15:25:59.402327,0 days 00:00:41.315707,2048,1000000,0.9,0.002037106940551333,0,0.4762521864738325,small,0.08,32,COMPLETE
117,117,95.9271934,2023-05-18 15:25:30.932378,2023-05-18 15:28:04.789573,0 days 00:02:33.857195,2048,1000000,0.9,0.001445476018676922,0,-1.0422473795670375,big,0.08,4,PRUNED
118,118,47.1012866,2023-05-18 15:25:43.179212,2023-05-18 15:28:16.368093,0 days 00:02:33.188881,2048,100000,0.9,8.256340886978856e-05,0,0.18471341346698,big,0.08,8,PRUNED
