rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/ent_coef,train/actor_loss
34.62812004999999,41,1810,917,38140,26.62,2.782559402207126e-05,-0.19278663396835327,1406,8.231497764587402,0.9617158770561218,-14.413488388061523
35.553565160000005,42,1820,917,38580,27.13,2.782559402207126e-05,-0.19426360726356506,1428,9.076589584350586,0.9611387252807617,-15.229839324951172
38.85713793,42,1830,917,38840,28.23,2.782559402207126e-05,-0.19791096448898315,1441,8.551619529724121,0.9607988595962524,-14.846124649047852
40.81980669000001,42,1840,918,39180,29.71,2.782559402207126e-05,-0.1938152015209198,1458,9.630773544311523,0.9603532552719116,-15.155750274658203
42.33951413,42,1850,919,39500,30.57,2.782559402207126e-05,-0.19931882619857788,1474,9.130767822265625,0.9599366784095764,-15.3245210647583
42.04214503000001,43,1860,919,39880,30.82,2.782559402207126e-05,-0.2015167474746704,1493,9.240455627441406,0.9594414234161377,-15.6227388381958
45.17163616999999,45,1870,875,40220,32.25,2.782559402207126e-05,-0.20278868079185486,1510,5.561936378479004,0.9589985609054565,-15.996381759643555
46.64112599,46,1880,876,40640,33.02,2.782559402207126e-05,-0.20600679516792297,1531,10.881633758544922,0.958453893661499,-16.100753784179688
46.107507299999995,46,1890,876,40820,33.02,2.782559402207126e-05,-0.20535701513290405,1540,13.980802536010742,0.9582209587097168,-16.012615203857422
47.88002556000001,46,1900,877,41200,33.9,2.782559402207126e-05,-0.20622605085372925,1559,9.829370498657227,0.9577304720878601,-16.272315979003906
47.62904661999999,47,1910,877,41400,34.11,2.782559402207126e-05,-0.21110212802886963,1569,7.5703840255737305,0.9574735760688782,-15.895587921142578
47.99690423,47,1920,877,41780,34.32,2.782559402207126e-05,-0.2122037708759308,1588,8.047086715698242,0.9569845795631409,-16.415761947631836
47.71449572,47,1930,878,42000,33.41,2.782559402207126e-05,-0.2106531858444214,1599,7.941061973571777,0.9567019939422607,-16.453428268432617
47.1539121,48,1940,879,42340,32.89,2.782559402207126e-05,-0.20904861390590668,1616,13.648195266723633,0.9562662243843079,-17.306396484375
47.18572517,48,1950,880,42640,32.37,2.782559402207126e-05,-0.21300408244132996,1631,6.960433483123779,0.9558833837509155,-17.11939239501953
47.18092460999999,48,1960,881,42980,31.92,2.782559402207126e-05,-0.21606311202049255,1648,3.8781254291534424,0.9554506540298462,-17.62302017211914
45.799767519999996,49,1970,882,43420,31.21,2.782559402207126e-05,-0.2188631296157837,1670,7.559305667877197,0.9548908472061157,-18.05668830871582
44.177155680000006,49,1980,882,43660,30.07,2.782559402207126e-05,-0.21795372664928436,1682,14.856172561645508,0.9545863270759583,-18.137758255004883
45.839210660000006,49,1990,882,43980,31.75,2.782559402207126e-05,-0.2200000286102295,1698,10.168108940124512,0.954181969165802,-17.83363151550293
45.10320834999999,50,2000,882,44260,30.95,2.782559402207126e-05,-0.21969908475875854,1712,15.68761157989502,0.9538297653198242,-18.31903648376465
46.23382863999999,50,2010,883,44600,31.27,2.782559402207126e-05,-0.22290481626987457,1729,7.842351913452148,0.953403651714325,-18.400278091430664
47.14026156,50,2020,884,44940,31.34,2.782559402207126e-05,-0.22359588742256165,1746,14.290651321411133,0.9529778361320496,-18.434417724609375
46.37290724,51,2030,885,45240,31.6,2.782559402207126e-05,-0.2256798893213272,1761,10.314287185668945,0.9526029825210571,-18.835248947143555
47.97862325,51,2040,886,45560,32.17,2.782559402207126e-05,-0.22641927003860474,1777,13.774442672729492,0.9522045850753784,-18.684635162353516
48.21309183,51,2050,886,45920,32.02,2.782559402207126e-05,-0.23189082741737366,1795,9.929154396057129,0.9517593383789062,-18.81572723388672
49.11759914999999,52,2060,886,46300,32.51,2.782559402207126e-05,-0.22167780995368958,1814,8.87419319152832,0.9512898325920105,-19.607173919677734
50.634246139999995,52,2070,887,46620,33.31,2.782559402207126e-05,-0.22921538352966309,1830,17.168609619140625,0.9508955478668213,-19.663475036621094
49.953179520000006,52,2080,887,46880,33.21,2.782559402207126e-05,-0.22887207567691803,1843,7.755216121673584,0.9505754709243774,-19.36290740966797
49.5383982,53,2090,887,47280,31.7,2.782559402207126e-05,-0.2231942117214203,1863,8.435575485229492,0.950083315372467,-20.172203063964844
50.61760763,53,2100,887,47480,32.74,2.782559402207126e-05,-0.23308828473091125,1873,9.46597957611084,0.9498392939567566,-19.305679321289062
