time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
39280,1017,165.28793,38,910,83.15,0.01963955909013748,0.00615848211066026,-14.149223327636719,-4.2560038566589355,1.0661516189575195,1463
39860,1016,166.07332,39,920,83.05,0.018373969942331314,0.00615848211066026,-14.380794525146484,1.168210744857788,0.6688193082809448,1492
40980,1012,162.09778,40,930,80.94,0.01772293634712696,0.00615848211066026,-15.284366607666016,3.7821273803710938,2.1465256214141846,1548
41600,1007,163.80618,41,940,81.23,0.018378689885139465,0.00615848211066026,-14.789488792419434,0.1770155429840088,2.053799629211426,1579
42820,1003,164.38426,42,950,81.35,0.018665097653865814,0.00615848211066026,-15.262589454650879,-0.5342003107070923,1.489238977432251,1640
43500,1001,167.46564,43,960,82.09,0.018648449331521988,0.00615848211066026,-15.94471549987793,-0.4325944781303406,1.115074872970581,1674
43980,999,166.99782,44,970,81.4,0.019403163343667984,0.00615848211066026,-16.56452178955078,0.9372945427894592,2.3773655891418457,1698
44720,996,163.59879,44,980,79.59,0.019833439961075783,0.00615848211066026,-16.621614456176758,-1.6121296882629395,2.1020541191101074,1735
46300,990,171.45625,46,990,82.15,0.02030458115041256,0.00615848211066026,-17.891748428344727,-0.9333688616752625,1.8545763492584229,1814
46900,989,180.46323,47,1000,84.8,0.020428353920578957,0.00615848211066026,-17.800495147705078,2.090085983276367,1.6643970012664795,1844
48180,985,187.56659,48,1010,87.0,0.020601047202944756,0.00615848211066026,-18.381502151489258,0.30730122327804565,3.343627452850342,1908
49180,984,192.87201,49,1020,88.82,0.023332109674811363,0.00615848211066026,-18.471050262451172,2.375877857208252,4.6871538162231445,1958
