time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss
228020,1293,9860,22.08,38.754596729999996,176,0.09,4226192896.0,-525.0595092773438,121332832.0,10900,1.2241189506983657e+19
228260,1293,9870,22.06,38.73192692,176,0.09,7176372224.0,-541.399658203125,211897616.0,10912,3.930368800424827e+19
228460,1293,9880,22.04,38.706595969999995,176,0.09,11216267264.0,-553.5186767578125,337854016.0,10922,9.976220842532536e+19
228700,1293,9890,22.04,38.71785404,176,0.09,19369644032.0,-571.7547607421875,592399488.0,10934,3.159091476178099e+20
228900,1293,9900,22.02,38.697449139999996,177,0.09,30456426496.0,-581.4345703125,947764544.0,10944,8.25126020566267e+20
229120,1293,9910,21.97,38.62560043,177,0.09,50692972544.0,-594.9993896484375,1592577536.0,10955,2.3281233017327143e+21
229340,1293,9920,21.96,38.62123773,177,0.09,85149786112.0,-612.39111328125,2682493184.0,10966,6.554991509437571e+21
229580,1293,9930,21.97,38.62744314,177,0.09,149132705792.0,-624.5350952148438,4747643904.0,10978,2.054910994815902e+22
229780,1293,9940,21.98,38.64888914999999,177,0.09,240774709248.0,-641.7180786132812,7652898816.0,10988,5.223987317285351e+22
230020,1292,9950,21.98,38.65073792,177,0.09,427415830528.0,-658.5363159179688,13608644608.0,11000,1.6994826788401726e+23
230220,1292,9960,21.94,38.60086655,178,0.09,687589031936.0,-669.158447265625,22020106240.0,11010,4.428019137560054e+23
230460,1292,9970,21.95,38.60716761,178,0.09,1227743035392.0,-686.3634033203125,39322750976.0,11022,1.3767174037090913e+24
230660,1292,9980,21.93,38.57610646,178,0.09,1993731604480.0,-700.588134765625,63867310080.0,11032,3.6814688844882987e+24
230900,1292,9990,21.93,38.562542959999995,178,0.09,3574332129280.0,-717.0485229492188,114568134656.0,11044,1.1866510302691735e+25
231100,1293,10000,21.96,38.62356391,178,0.09,5842301616128.0,-733.02587890625,186828849152.0,11054,3.193097733851189e+25
231340,1293,10010,22.0,38.68576731,178,0.09,10504835694592.0,-748.0623779296875,336704307200.0,11066,1.0469690329044018e+26
231560,1293,10020,22.02,38.690401990000005,179,0.09,18043449114624.0,-762.41259765625,579053944832.0,11077,3.0774079638219954e+26
231780,1293,10030,22.03,38.71609267,179,0.09,31198453694464.0,-781.0042114257812,997548687360.0,11088,9.217820304758352e+26
231980,1293,10040,22.04,38.73981816,179,0.09,51035125055488.0,-791.387451171875,1638752059392.0,11098,2.4399331297552516e+27
232240,1293,10050,22.06,38.79019563999999,179,0.09,97341289791488.0,-807.6090087890625,3132886614016.0,11111,8.616950525548691e+27
232420,1293,10060,22.09,38.85409278,179,0.09,152836679663616.0,-821.2291259765625,4913778655232.0,11120,2.230473331792122e+28
232680,1293,10070,22.13,38.91647708,179,0.09,294581539176448.0,-842.7664794921875,9438734843904.0,11133,8.254947841953028e+28
232860,1293,10080,22.13,38.91084857,180,0.09,464363274108928.0,-856.7156372070312,14860916097024.0,11142,2.0170381394704668e+29
233140,1293,10090,22.14,38.9195154,180,0.09,947291141701632.0,-880.9498291015625,30184946270208.0,11156,8.274048492113621e+29
233300,1293,10100,22.1,38.85049146000001,180,0.09,1417345918566400.0,-888.84765625,45330515099648.0,11164,1.8574161454993066e+30
233580,1293,10110,22.09,38.83373343,180,0.09,2893459874643968.0,-908.2337646484375,92615466811392.0,11178,8.060268699264978e+30
233740,1293,10120,22.07,38.80538673,180,0.09,4354442124066816.0,-918.7059326171875,139530652876800.0,11186,1.7628737640493465e+31
234000,1293,10130,22.06,38.78539626,180,0.09,8499473453940736.0,-938.13427734375,272199525072896.0,11199,6.690711455287169e+31
234180,1293,10140,22.04,38.74144421,181,0.09,1.3471279814279168e+16,-947.3124389648438,433039876292608.0,11208,1.706196081704616e+32
234440,1293,10150,22.03,38.717084529999994,181,0.09,2.641297727605965e+16,-966.9666748046875,848462400716800.0,11221,6.781237464799027e+32
234620,1293,10160,22.03,38.71314529,181,0.09,4.227212468918682e+16,-983.1385498046875,1354133260992512.0,11230,1.7317936255525658e+33
234880,1293,10170,22.02,38.724307010000004,181,0.09,8.344379285779251e+16,-1005.02197265625,2666366431657984.0,11243,6.570194065871675e+33
235080,1293,10180,22.05,38.760668179999996,181,0.09,1.3993688927148442e+17,-1012.7110595703125,4499951052652544.0,11253,1.8746488731330024e+34
235320,1293,10190,22.04,38.744769260000005,181,0.09,2.6303535925900083e+17,-1031.1702880859375,8452904197292032.0,11265,6.508267724728475e+34
235520,1293,10200,22.09,38.81753871,182,0.09,4.476520717562675e+17,-1050.963134765625,1.4324346218610688e+16,11275,1.87852092674668e+35
235760,1293,10210,22.08,38.8183703,182,0.09,8.424831925973156e+17,-1065.7646484375,2.7030209173651456e+16,11287,6.791934851301703e+35
235960,1293,10220,22.08,38.83391572,182,0.09,1.435670677855142e+18,-1083.140625,4.596906073889178e+16,11297,inf
236180,1293,10230,22.07,38.81662702,182,0.09,2.574978441803727e+18,-1097.3326416015625,8.260877390603878e+16,11308,inf
236400,1293,10240,22.11,38.89079236999999,182,0.09,4.63720018574993e+18,-1113.593994140625,1.488060139175936e+17,11319,inf
236640,1293,10250,22.13,38.936102999999996,182,0.09,8.828541809366925e+18,-1131.76025390625,2.8329698773696512e+17,11331,inf
236840,1293,10260,22.12,38.915282940000004,183,0.09,1.511495775973435e+19,-1145.708984375,4.854876756173128e+17,11341,inf
237080,1293,10270,22.14,38.93571638,183,0.09,2.899459661347632e+19,-1167.36181640625,9.28845501632086e+17,11353,inf
237280,1293,10280,22.12,38.90599541,183,0.09,4.9851197496387174e+19,-1182.132568359375,1.5976383613532897e+18,11363,inf
237520,1293,10290,22.09,38.86434049,183,0.09,9.569850140999549e+19,-1198.6614990234375,3.071363136645759e+18,11375,inf
237720,1293,10300,22.08,38.84693306,183,0.09,1.658031868751328e+20,-1218.4444580078125,5.303945136344924e+18,11385,inf
237960,1293,10310,22.09,38.85585142,183,0.09,3.187976086444426e+20,-1232.0670166015625,1.02352119059668e+19,11397,inf
238180,1293,10320,22.13,38.91788592,184,0.09,5.844093241707557e+20,-1250.9613037109375,1.873745274907027e+19,11408,inf
238400,1293,10330,22.08,38.83668815000001,184,0.09,1.0759649089680142e+21,-1273.080810546875,3.437496000697493e+19,11419,inf
238620,1293,10340,22.04,38.77354757,184,0.09,1.9609185062028753e+21,-1277.3018798828125,6.322450025042202e+19,11430,inf
238840,1293,10350,22.05,38.7780046,184,0.09,3.6317275093095185e+21,-1301.677490234375,1.1650566825012154e+20,11441,inf
239060,1293,10360,22.03,38.745039330000004,184,0.09,6.711095279721487e+21,-1319.683837890625,2.151853151189247e+20,11452,inf
239300,1293,10370,22.01,38.705404169999994,185,0.09,1.311985040565871e+22,-1337.0064697265625,4.211324455803452e+20,11464,inf
239500,1293,10380,22.01,38.711339159999994,185,0.09,2.313281154358259e+22,-1361.653564453125,7.381749521918806e+20,11474,inf
239720,1293,10390,22.0,38.70566225,185,0.09,4.2729693897329274e+22,-1370.5283203125,1.371317939036645e+21,11485,inf
239960,1293,10400,22.02,38.73362751,185,0.09,8.39692547643527e+22,-1385.25146484375,2.7025121830931393e+21,11497,inf
240160,1293,10410,22.01,38.720527860000004,185,0.09,1.4811182650037253e+23,-1402.2000732421875,4.763728104797369e+21,11507,inf
240400,1293,10420,21.98,38.655941490000004,185,0.09,2.932630046201102e+23,-1422.6405029296875,9.424601875404944e+21,11519,inf
240620,1292,10430,22.03,38.73398614,186,0.09,5.4954410642491675e+23,-1440.2293701171875,1.7661493064981511e+22,11530,inf
240840,1292,10440,22.05,38.75366252,186,0.09,1.0327075322429956e+24,-1459.2584228515625,3.316258011531582e+22,11541,inf
241060,1292,10450,22.03,38.725915259999994,186,0.09,1.9424495008362077e+24,-1475.852294921875,6.242248941234007e+22,11552,inf
241280,1292,10460,22.06,38.76443838,186,0.09,3.6529706825070505e+24,-1488.763427734375,1.1774300937789972e+23,11563,inf
241500,1292,10470,22.09,38.82356177,186,0.09,6.952051532714277e+24,-1518.0252685546875,2.225556798224605e+23,11574,inf
241720,1292,10480,22.08,38.81437639,187,0.09,1.311841011846908e+25,-1529.4482421875,4.216008402077901e+23,11585,inf
241940,1292,10490,22.09,38.82545525,187,0.09,2.4985005737352156e+25,-1553.52734375,8.001371799147529e+23,11596,inf
242180,1292,10500,22.08,38.81067230000001,187,0.09,5.055692691921151e+25,-1579.123291015625,1.613697104331703e+24,11608,inf
