time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/learning_rate
14,17.34827,25260,1170,20.06,1789,762,-5.170785903930664,-0.038410551846027374,0.9923927783966064,4.684066295623779,1e-05
14,17.534555,25500,1180,20.24,1779,774,-5.274202823638916,-0.03899552673101425,0.9922735691070557,4.803408145904541,1e-05
14,17.51824,25700,1190,20.45,1770,784,-5.222432613372803,-0.0394536629319191,0.9921742677688599,4.869213104248047,1e-05
14,17.034845,25900,1200,20.19,1762,794,-5.280948162078857,-0.0401710569858551,0.9920749068260193,4.5110979080200195,1e-05
14,16.66835,26100,1210,19.91,1755,804,-5.409219264984131,-0.040800921618938446,0.9919756650924683,5.038076400756836,1e-05
15,16.53958,26360,1220,19.78,1747,817,-5.432456016540527,-0.04142211005091667,0.9918463826179504,4.437725067138672,1e-05
15,17.060947,26500,1230,20.48,1740,824,-5.4594340324401855,-0.041644662618637085,0.9917768239974976,4.984729766845703,1e-05
15,18.036797,26660,1240,20.66,1732,832,-5.447808265686035,-0.04184503108263016,0.991697371006012,5.323548316955566,1e-05
15,17.367594,26840,1250,20.18,1724,841,-5.580145835876465,-0.04261419177055359,0.9916079640388489,4.8050642013549805,1e-05
15,16.086285,27020,1260,19.66,1718,850,-5.513696670532227,-0.042821455746889114,0.9915185570716858,5.091681480407715,1e-05
15,16.079203,27260,1270,19.71,1709,862,-5.64293098449707,-0.04353834316134453,0.991399347782135,5.384269714355469,1e-05
16,16.121576,27520,1280,19.53,1682,875,-5.815485000610352,-0.04392065107822418,0.9912704229354858,5.072566032409668,1e-05
16,16.582378,27740,1290,19.33,1666,886,-5.8751397132873535,-0.04476363956928253,0.9911612272262573,4.901997089385986,1e-05
16,16.874561,27940,1300,20.0,1652,896,-5.994832992553711,-0.04528507962822914,0.9910619854927063,4.974557876586914,1e-05
17,17.14626,28100,1310,20.12,1647,904,-5.844963073730469,-0.045691944658756256,0.9909826517105103,4.811939239501953,1e-05
17,16.988316,28340,1320,19.77,1639,916,-5.895983695983887,-0.04630377143621445,0.9908636212348938,5.403403282165527,1e-05
17,17.109247,28440,1330,19.58,1636,921,-6.000077247619629,-0.04633793607354164,0.9908139705657959,4.888071537017822,1e-05
17,16.04456,28620,1340,18.85,1631,930,-6.00028657913208,-0.04729223623871803,0.9907247424125671,5.051918029785156,1e-05
17,15.814834,28840,1350,18.42,1627,941,-6.166359901428223,-0.047531984746456146,0.9906154870986938,5.27323055267334,1e-05
17,18.507265,29060,1360,19.83,1622,952,-6.113192081451416,-0.04815364256501198,0.9905062913894653,5.093425750732422,1e-05
18,18.86784,29200,1370,20.0,1619,959,-6.360710144042969,-0.04820501059293747,0.990436851978302,6.114081382751465,1e-05
18,18.789288,29360,1380,20.01,1615,967,-6.4496684074401855,-0.04870200529694557,0.9903575778007507,4.826135635375977,1e-05
18,17.431261,29580,1390,19.07,1609,978,-6.536949157714844,-0.04926097393035889,0.9902486801147461,6.385110855102539,1e-05
18,17.157175,29760,1400,18.43,1604,987,-6.39378547668457,-0.049929432570934296,0.9901595711708069,5.136748790740967,1e-05
18,17.150839,29940,1410,18.59,1599,996,-6.346138000488281,-0.0500565767288208,0.9900704622268677,6.603196144104004,1e-05
18,17.192377,30120,1420,18.58,1595,1005,-6.4376540184021,-0.05073381960391998,0.9899814128875732,5.814743518829346,1e-05
19,17.062254,30320,1430,18.6,1591,1015,-6.646276473999023,-0.051229894161224365,0.9898824095726013,7.406160354614258,1e-05
19,17.612823,30480,1440,19.14,1587,1023,-6.698215484619141,-0.051922306418418884,0.9898032546043396,5.627270698547363,1e-05
19,17.58358,30640,1450,19.22,1583,1031,-6.454461574554443,-0.052176401019096375,0.9897240996360779,4.88681697845459,1e-05
19,15.139214,30840,1460,17.93,1576,1041,-6.529850482940674,-0.052725378423929214,0.9896251559257507,6.311091899871826,1e-05
19,15.073883,30980,1470,17.7,1571,1048,-6.502935886383057,-0.052844271063804626,0.9895559549331665,6.907130241394043,1e-05
19,15.000113,31220,1480,17.66,1566,1060,-6.74141263961792,-0.05342153459787369,0.9894372224807739,5.2057647705078125,1e-05
20,15.495362,31380,1490,18.3,1562,1068,-6.851289749145508,-0.0542457140982151,0.989358127117157,6.068762302398682,1e-05
20,15.418568,31560,1500,18.23,1555,1077,-7.210968494415283,-0.05464475601911545,0.9892690181732178,8.473663330078125,1e-05
20,14.720399,31840,1510,17.88,1548,1091,-6.851408958435059,-0.05518586188554764,0.9891304969787598,6.31338357925415,1e-05
20,15.557311,32020,1520,18.87,1541,1100,-7.15262508392334,-0.05536627024412155,0.9890416264533997,7.103057384490967,1e-05
21,16.154888,32220,1530,19.06,1528,1110,-7.048410415649414,-0.0559927374124527,0.9889426231384277,7.599766254425049,1e-05
21,15.894754,32400,1540,18.93,1523,1119,-6.986395835876465,-0.05632636323571205,0.9888537526130676,6.564693450927734,1e-05
21,16.218285,32640,1550,19.63,1519,1131,-7.10977029800415,-0.05705897510051727,0.988735020160675,5.076192855834961,1e-05
21,17.01568,32860,1560,19.99,1516,1142,-7.345282554626465,-0.05763056129217148,0.9886263012886047,7.784217834472656,1e-05
21,17.036833,33100,1570,20.59,1514,1154,-7.261405944824219,-0.058378662914037704,0.9885077476501465,6.359134674072266,1e-05
22,17.2175,33260,1580,20.83,1509,1162,-7.478559970855713,-0.058719947934150696,0.9884287118911743,7.250802040100098,1e-05
22,16.529547,33480,1590,20.47,1502,1173,-7.306614875793457,-0.05889955163002014,0.988319993019104,6.417362213134766,1e-05
22,17.062164,33620,1600,21.06,1500,1180,-7.523272514343262,-0.05928897485136986,0.9882508516311646,7.431413650512695,1e-05
22,17.018684,33800,1610,20.84,1498,1189,-7.6111650466918945,-0.05977684631943703,0.9881619215011597,7.080817222595215,1e-05
22,15.659872,34000,1620,19.82,1495,1199,-7.390591144561768,-0.06019577383995056,0.9880629777908325,7.174413204193115,1e-05
22,15.492842,34160,1630,19.61,1494,1207,-7.517438888549805,-0.06073218211531639,0.9879839420318604,6.653568267822266,1e-05
23,15.680392,34340,1640,19.84,1492,1216,-7.582931041717529,-0.06126732751727104,0.9878950119018555,6.193934917449951,1e-05
23,15.33425,34560,1650,19.16,1490,1227,-7.710256576538086,-0.06159540265798569,0.9877864718437195,6.170723915100098,1e-05
23,15.042983,34780,1660,18.9,1489,1238,-7.86015510559082,-0.06245545297861099,0.9876779913902283,6.618584632873535,1e-05
23,15.406541,34960,1670,18.58,1488,1247,-7.839747428894043,-0.06316071003675461,0.9875892996788025,7.9716386795043945,1e-05
23,16.140957,35140,1680,18.96,1487,1256,-7.836399078369141,-0.06298620998859406,0.9875004291534424,6.665809631347656,1e-05
23,16.229551,35300,1690,18.8,1486,1264,-8.005714416503906,-0.06337419152259827,0.9874216318130493,8.798019409179688,1e-05
23,15.724881,35460,1700,18.24,1485,1272,-7.961602687835693,-0.0642518550157547,0.9873427152633667,9.718280792236328,1e-05
24,16.204056,35660,1710,18.7,1483,1282,-8.081171989440918,-0.06424204260110855,0.9872440695762634,10.180410385131836,1e-05
24,15.962637,35840,1720,18.42,1481,1291,-7.738570213317871,-0.06480777263641357,0.9871553182601929,5.144097328186035,1e-05
24,16.323084,36040,1730,18.62,1479,1301,-8.109637260437012,-0.06551174819469452,0.9870567321777344,8.182048797607422,1e-05
24,15.971609,36200,1740,18.25,1478,1309,-8.231463432312012,-0.06594958901405334,0.9869778752326965,7.534554958343506,1e-05
24,16.403769,36340,1750,18.78,1477,1316,-8.035446166992188,-0.06584016978740692,0.9869089722633362,8.486992835998535,1e-05
24,15.420468,36520,1760,18.18,1474,1325,-8.038087844848633,-0.0662236362695694,0.9868203997612,6.417781352996826,1e-05
25,15.331174,36740,1770,18.4,1467,1336,-8.327157020568848,-0.06721143424510956,0.9867120981216431,7.40967321395874,1e-05
25,14.336195,36920,1780,17.87,1464,1345,-8.517450332641602,-0.06754112988710403,0.9866234660148621,8.97557544708252,1e-05
25,14.234574,37100,1790,17.85,1462,1354,-8.283089637756348,-0.06808450818061829,0.9865347743034363,6.793396949768066,1e-05
25,14.520046,37240,1800,18.01,1460,1361,-8.542257308959961,-0.06822678446769714,0.9864659309387207,7.1809821128845215,1e-05
25,14.396297,37420,1810,17.89,1454,1370,-8.67790412902832,-0.0696599930524826,0.9863772988319397,7.685955047607422,1e-05
25,14.056934,37620,1820,17.62,1451,1380,-8.419660568237305,-0.06936150044202805,0.986278772354126,7.634950160980225,1e-05
26,13.928224,37820,1830,17.74,1449,1390,-8.753917694091797,-0.06995221227407455,0.9861803650856018,8.597214698791504,1e-05
26,14.229083,37980,1840,17.95,1446,1398,-8.513853073120117,-0.07080147415399551,0.9861016869544983,6.195188522338867,1e-05
26,14.0409975,38080,1850,17.59,1445,1403,-8.958242416381836,-0.07036221027374268,0.9860525131225586,8.333067893981934,1e-05
26,14.338754,38320,1860,17.76,1444,1415,-8.788110733032227,-0.0712827816605568,0.9859344959259033,8.475391387939453,1e-05
26,14.573053,38520,1870,17.83,1436,1425,-8.622511863708496,-0.07111615687608719,0.9858360886573792,5.430543899536133,1e-05
26,14.350081,38640,1880,17.75,1435,1431,-8.877128601074219,-0.07169979810714722,0.9857771396636963,9.174637794494629,1e-05
27,14.229073,38880,1890,17.62,1433,1443,-9.134613037109375,-0.07201027870178223,0.985659122467041,10.924177169799805,1e-05
27,14.000315,39020,1900,17.57,1432,1450,-8.960287094116211,-0.07278163731098175,0.985590398311615,6.703037261962891,1e-05
27,14.241559,39200,1910,17.55,1429,1459,-9.074399948120117,-0.07316222786903381,0.9855020046234131,8.648168563842773,1e-05
27,14.408102,39320,1920,17.58,1428,1465,-8.993327140808105,-0.07418517768383026,0.9854430556297302,9.977861404418945,1e-05
27,14.414428,39500,1930,17.66,1427,1474,-9.280532836914062,-0.07401873916387558,0.985354483127594,8.655487060546875,1e-05
27,13.795815,39660,1940,17.1,1426,1482,-9.515693664550781,-0.0744507908821106,0.9852758049964905,13.65283203125,1e-05
27,13.892303,39820,1950,17.15,1425,1490,-9.018476486206055,-0.07470285147428513,0.985197126865387,9.687239646911621,1e-05
28,13.632798,39980,1960,16.95,1424,1498,-9.038172721862793,-0.0745001807808876,0.9851184487342834,9.991170883178711,1e-05
28,13.469748,40140,1970,16.63,1420,1506,-8.96087646484375,-0.07543855905532837,0.9850399494171143,4.981319904327393,1e-05
28,13.273441,40360,1980,16.31,1418,1517,-9.509174346923828,-0.07581336051225662,0.984932005405426,9.02096939086914,1e-05
28,13.562214,40460,1990,16.49,1417,1522,-9.28152084350586,-0.07697556912899017,0.9848830103874207,10.02367115020752,1e-05
28,13.337642,40640,2000,16.15,1415,1531,-9.384458541870117,-0.07723385095596313,0.9847946166992188,9.18639850616455,1e-05
28,12.954773,40800,2010,16.05,1412,1539,-9.478671073913574,-0.07707473635673523,0.9847160577774048,12.64631175994873,1e-05
