time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef
69,1730,50.08541,43640,35.88,630,-0.33829838037490845,10.20065689086914,-20.37617301940918,1681,4.641588833612782e-05,0.926491916179657
69,1740,50.513363,44020,35.09,631,-0.34422826766967773,13.710921287536621,-20.43358039855957,1700,4.641588833612782e-05,0.9257298707962036
70,1750,51.387085,44360,35.56,633,-0.340766042470932,9.311866760253906,-21.440387725830078,1717,4.641588833612782e-05,0.9250501990318298
70,1760,51.501343,44640,35.27,633,-0.3558172583580017,4.27630615234375,-20.311342239379883,1731,4.641588833612782e-05,0.9244903922080994
70,1770,51.46688,45040,35.26,635,-0.34235480427742004,8.159889221191406,-21.578102111816406,1751,4.641588833612782e-05,0.9236912131309509
71,1780,51.377045,45300,35.45,635,-0.3675655126571655,10.069489479064941,-21.64320945739746,1764,4.641588833612782e-05,0.9231740236282349
71,1790,49.072025,45640,35.02,636,-0.3591182231903076,15.770225524902344,-21.924158096313477,1781,4.641588833612782e-05,0.9224947690963745
72,1800,48.345802,45980,34.49,638,-0.3609567880630493,9.781249046325684,-21.84659767150879,1798,4.641588833612782e-05,0.9218178987503052
72,1810,48.127007,46260,34.36,639,-0.35608649253845215,9.879342079162598,-21.835620880126953,1812,4.641588833612782e-05,0.9212619066238403
72,1820,47.706955,46560,33.44,641,-0.3562389612197876,14.28432559967041,-21.794326782226562,1827,4.641588833612782e-05,0.9206651449203491
72,1830,47.38006,46760,33.49,641,-0.369576096534729,18.05600357055664,-22.100923538208008,1837,4.641588833612782e-05,0.920268177986145
73,1840,45.307274,47260,32.64,644,-0.37807872891426086,15.56068229675293,-22.64311408996582,1862,4.641588833612782e-05,0.9192761182785034
73,1850,45.70549,47480,32.39,644,-0.36956262588500977,21.039752960205078,-22.80531883239746,1873,4.641588833612782e-05,0.9188373684883118
74,1860,44.97013,47880,31.66,646,-0.38322362303733826,10.551382064819336,-22.85097885131836,1893,4.641588833612782e-05,0.9180430173873901
74,1870,45.400078,48140,31.56,647,-0.3729049563407898,15.485147476196289,-23.15252685546875,1906,4.641588833612782e-05,0.9175249338150024
74,1880,45.30303,48480,31.44,648,-0.37482696771621704,15.848665237426758,-22.98883819580078,1923,4.641588833612782e-05,0.9168487787246704
75,1890,47.42625,48860,31.39,650,-0.38275349140167236,12.553731918334961,-23.883071899414062,1942,4.641588833612782e-05,0.9160934090614319
75,1900,47.610577,49100,31.35,651,-0.3726043105125427,11.763080596923828,-23.38426399230957,1954,4.641588833612782e-05,0.9156166911125183
75,1910,47.860485,49440,31.34,652,-0.3763285279273987,6.072535514831543,-23.740520477294922,1971,4.641588833612782e-05,0.9149463772773743
76,1920,47.985397,49740,31.37,652,-0.38931211829185486,20.750486373901367,-23.270370483398438,1986,4.641588833612782e-05,0.9143552184104919
